id,doi,is_oa,source,oa_url,host_type
71,10.1016/j.jmva.2019.104584,True,semantic_scholar,https://doi.org/10.1016/j.jmva.2019.104584,
72,10.1007/s00180-026-01769-9,True,unpaywall,https://arxiv.org/pdf/2405.20758,repository
73,10.1007/s12561-025-09511-7,False,,,
74,10.1093/biostatistics/kxaa041,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/9007445,repository
75,10.1007/s11634-020-00432-5,False,,,
78,10.1111/anzs.70061,False,,,
79,10.13189/ms.2024.120110,True,unpaywall,http://www.hrpub.org/download/20240130/MS10-13433543.pdf,publisher
80,10.1080/00949655.2025.2603658,False,,,
81,10.1007/s00362-025-01769-9,False,,,
82,10.15672/hujms.1824224,True,unpaywall,https://dergipark.org.tr/en/download/article-file/5422948,publisher
83,10.1137/20M135279X,True,unpaywall,https://www.osti.gov/biblio/1844165,repository
84,10.1080/26941899.2026.2685315,True,unpaywall,https://doi.org/10.1080/26941899.2026.2685315,publisher
86,10.1002/cjs.11677,True,semantic_scholar,https://arxiv.org/pdf/1809.06462,
87,10.1007/s11749-022-00820-3,False,,,
88,10.15672/HJMS.2018.613,True,unpaywall,https://dergipark.org.tr/en/download/article-file/684449,publisher
89,10.15446/rce.v48n1.113398,True,unpaywall,https://revistas.unal.edu.co/index.php/estad/article/download/113398/93871,publisher
90,10.1177/09622802231206472,False,,,
91,10.1016/j.csda.2023.107873,False,,,
92,10.1016/j.idm.2021.08.006,True,unpaywall,https://www.sciencedirect.com/science/article/pii/S2468042721000580/pdf,publisher
94,10.3390/stats4030042,True,unpaywall,https://www.mdpi.com/2571-905X/4/3/42/pdf?version=1630555722,publisher
95,10.1002/qre.2786,False,,,
96,10.1016/j.jkss.2017.02.001,False,,,
97,10.1109/ICPECA56706.2023.10075869,False,,,
98,10.1214/17-AOS1553,True,unpaywall,https://projecteuclid.org/journals/annals-of-statistics/volume-46/issue-1/Mixture-inner-product-spaces-and-their-application-to-functional-data/10.1214/17-AOS1553.pdf,publisher
99,10.1111/sjos.12788,True,unpaywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/sjos.12788,publisher
101,10.1016/j.matcom.2018.11.016,True,unpaywall,https://arxiv.org/pdf/2402.05209,repository
