id,status,error,n_chars,method
541,error_fetch,HTTP Error 403: Forbidden,0,
544,ok,,105703,pdf
546,error_fetch,HTTP Error 403: Forbidden,0,
551,ok,,42987,pdf
555,ok,,43829,pdf
558,ok_dudoso_corto,,2631,html
559,ok,,36767,pdf
563,too_short,,0,html
566,ok,,54067,html
570,ok,,70222,pdf
571,ok,,21183,pdf
572,too_short,,167,html
573,error_fetch,HTTP Error 403: Forbidden,0,
574,too_short,,167,html
578,too_short,,6,html
579,error_fetch,URL can't contain control characters. '/Papers/Jamshidi Powell - Recursive local polynomial approximation method using DC-RBF Feb162013.pdf' (found at least ' '),0,
582,ok_dudoso_corto,,741,html
585,too_short,,167,html
586,too_short,,167,html
588,ok,,68463,pdf
589,error_fetch,HTTP Error 403: Forbidden,0,
591,too_short,,167,html
592,too_short,,167,html
593,error_fetch,HTTP Error 403: Forbidden,0,
596,ok,,80340,pdf
598,ok,,61547,pdf
600,too_short,,167,html
604,too_short,,82,html
606,ok,,68277,html
607,error_fetch,HTTP Error 403: Forbidden,0,
610,ok,,64555,html
611,too_short,,83,html
612,too_short,,83,html
619,error_fetch,HTTP Error 403: Forbidden,0,
620,too_short,,83,html
621,ok,,66521,html
622,ok,,72380,html
628,ok,,54251,html
629,ok,,93746,pdf
630,too_short,,0,html
634,error_fetch,HTTP Error 403: Forbidden,0,
635,too_short,,167,html
636,too_short,,83,html
638,too_short,,83,html
640,error_fetch,HTTP Error 403: Forbidden,0,
643,too_short,,83,html
645,error_fetch,HTTP Error 504: Gateway Time-out,0,
647,error_fetch,HTTP Error 403: Forbidden,0,
650,error_fetch,HTTP Error 403: Forbidden,0,
653,error_fetch,HTTP Error 403: Forbidden,0,
654,ok,,53203,pdf
655,ok,,72739,pdf
657,ok,,46266,pdf
658,too_short,,167,html
662,error_fetch,HTTP Error 403: Forbidden,0,
667,ok_dudoso_corto,,1466,html
669,too_short,,167,html
672,too_short,,167,html
673,too_short,,167,html
675,too_short,,83,html
677,too_short,,167,html
680,too_short,,167,html
682,ok_dudoso_corto,,1812,html
683,error_fetch,HTTP Error 500: Internal Server Error,0,
686,error_fetch,HTTP Error 403: Forbidden,0,
687,error_fetch,<urlopen error timed out>,0,
688,ok,,49986,pdf
689,ok,,157736,pdf
690,ok,,26914,pdf
691,ok,,37866,pdf
693,too_short,,83,html
695,too_short,,81,html
696,ok,,60053,html
699,too_short,,81,html
702,error_fetch,HTTP Error 403: Forbidden,0,
703,ok,,34468,html
705,error_fetch,HTTP Error 403: Forbidden,0,
706,blocked_antibot,,1200,html
707,error_fetch,HTTP Error 403: Forbidden,0,
708,too_short,,167,html
709,error_fetch,HTTP Error 403: Forbidden,0,
711,error_fetch,HTTP Error 403: Forbidden,0,
713,too_short,,11,html
715,too_short,,167,html
717,ok,,51801,pdf
721,too_short,,167,html
722,too_short,,167,html
724,too_short,,167,html
725,ok,,41704,pdf
729,error_fetch,HTTP Error 504: Gateway Time-out,0,
730,too_short,,0,html
741,error_fetch,HTTP Error 403: Forbidden,0,
742,ok,,78934,pdf
744,ok,,42915,html
746,ok,,63736,pdf
749,error_fetch,HTTP Error 403: Forbidden,0,
753,too_short,,0,html
754,too_short,,0,html
755,ok,,51241,html
758,ok,,45819,pdf
759,too_short,,167,html
763,too_short,,167,html
768,too_short,,167,html
769,too_short,,167,html
770,ok_dudoso_corto,,2531,html
771,error_fetch,HTTP Error 403: Forbidden,0,
774,ok,,47842,pdf
775,too_short,,81,html
776,error_fetch,HTTP Error 504: Gateway Time-out,0,
778,ok,,30645,pdf
780,ok,,73464,html
781,too_short,,11,html
782,ok,,59390,html
783,too_short,,0,html
784,error_fetch,HTTP Error 403: Forbidden,0,
786,too_short,,0,html
789,error_fetch,HTTP Error 403: Forbidden,0,
793,ok,,37930,pdf
794,error_fetch,HTTP Error 500: Internal Server Error,0,
795,error_fetch,HTTP Error 403: Forbidden,0,
798,too_short,,11,html
800,too_short,,81,html
801,error_fetch,HTTP Error 403: Forbidden,0,
802,error_fetch,HTTP Error 504: Gateway Time-out,0,
804,too_short,,167,html
809,error_fetch,HTTP Error 403: Forbidden,0,
812,too_short,,167,html
813,ok,,22603,pdf
814,error_fetch,HTTP Error 403: Forbidden,0,
